Wort;mentions_word;Bereich;SearchCluster;Notes;Region
hochwass;351;Außenpolitik;Umwelt/Natur/Klima;;
verfassungsfeind;351;Sonst.;;;
chtlingskris;350;Außenpolitik;Migration;;
kindersoldat;349;Sonst.;;;
seenotrett;349;Außenpolitik;Migration;;
stammzellforsch;349;Innenpolitik;;;
hongkong;348;Außenpolitik;Außenbeziehung;Land/Region;Hongkong
nahrungsmitteln;346;Innenpolitik;;;
tourismuspolit;345;Innenpolitik;;;
krisengebiet;344;Außenpolitik;Sicherheit;;
schienenweg;344;Innenpolitik;;;
mittelschicht;344;Innenpolitik;;;
personennahverkehr;344;Innenpolitik;;;
tschechisch;344;Außenpolitik;Außenbeziehung;Land/Region;Tschechien
betreuungsangebot;343;Innenpolitik;;;
gesamtdeutsch;342;Innenpolitik;;;
zwangsverheirat;342;Sonst.;;;
bankensektor;342;Innenpolitik;Finanzkrise;;
mazedoni;342;Außenpolitik;Außenbeziehung;Land/Region;Nordmazedonien
rechtspopulist;341;Sonst.;;;
rechtsradikal;341;Sonst.;;;
asylantr;340;Außenpolitik;Migration;;
arbeitsvertrag;339;Innenpolitik;;;
al-qaida;339;Außenpolitik;Sicherheit;;
energ;339;Außenpolitik;Umwelt/Natur/Klima;Energie;
subventionier;338;Innenpolitik;;;
informationsfreiheitsgesetz;338;Innenpolitik;;;
naturkatastroph;337;Außenpolitik;Umwelt/Natur/Klima;;
bangladesch;335;Außenpolitik;Außenbeziehung;Land/Region;Bangladesch
angriffskrieg;335;Außenpolitik;Sicherheit;;
wertegemeinschaft;335;Sonst.;;;
leistungsberechtigt;334;Innenpolitik;;;
klimakonferenz;334;Außenpolitik;Umwelt/Natur/Klima;;
kosovar;332;Außenpolitik;Außenbeziehung;Land/Region;Kosovo
meinungs-;331;Sonst.;;;
datenschutz-grundverordn;331;Innenpolitik;;;
einsatzkr;330;Außenpolitik;Sicherheit;;
saatgut;330;Innenpolitik;Landwirtschaft;;
bildungspaket;329;Innenpolitik;;;
klimaneutral;328;Außenpolitik;Umwelt/Natur/Klima;;
einkommensteuergesetz;328;Innenpolitik;;;
terrorgrupp;327;Außenpolitik;Sicherheit;;
verbraucherfreund;326;Innenpolitik;;;
gazastreif;324;Außenpolitik;Außenbeziehung;Land/Region;Palästinensische Gebiete
chemiewaff;324;Außenpolitik;Sicherheit;;
islamismus;324;Sonst.;;;
asiat;323;Außenpolitik;Außenbeziehung;Land/Region;Asien
subventioni;323;Innenpolitik;;;
versammlungsfrei;323;Sonst.;;;
biogas;323;Außenpolitik;Umwelt/Natur/Klima;;
litau;322;Außenpolitik;Außenbeziehung;Land/Region;Litauen
lissabon-vertrag;322;Außenpolitik;Außenbeziehung;EU-Angelegenheiten;
telemediengesetz;322;Innenpolitik;;;
solidarpakt;322;Innenpolitik;;;
embryon;322;Innenpolitik;;;
strahlenschutz;321;Außenpolitik;Umwelt/Natur/Klima;Energie;
minsk;319;Außenpolitik;Außenbeziehung;Land/Region;Belarus
namibia;319;Außenpolitik;Außenbeziehung;Land/Region;Namibia
poland;319;Außenpolitik;Außenbeziehung;Land/Region;Polen
datensich;318;Innenpolitik;;;
willkommenskultur;317;Außenpolitik;Migration;;
armutsrisiko;317;Innenpolitik;;;
ausbildungsmission;316;Innenpolitik;;;
verbrennungsmotor;316;Innenpolitik;;;
somalias;316;Außenpolitik;Außenbeziehung;Land/Region;Somalia
holland;315;Außenpolitik;Außenbeziehung;Land/Region;Niederlande
verkehrsw;315;Innenpolitik;;;
bedrohungslag;315;Außenpolitik;Sicherheit;;
wissenschaftszeitvertragsgesetz;314;Innenpolitik;;;
steueraufkomm;313;Innenpolitik;;;
linksextremist;313;Sonst.;;;
finanzmarktregulier;313;Außenpolitik;Finanzkrise;;
asylantrag;313;Außenpolitik;Migration;;
venezuela;313;Außenpolitik;Außenbeziehung;Land/Region;Venezuela
agrarstruktur;312;Innenpolitik;;;
stromverbrauch;311;Außenpolitik;Umwelt/Natur/Klima;Energie;
indonesi;310;Außenpolitik;Außenbeziehung;Land/Region;Indonesien
krankenpfleg;310;Innenpolitik;;;
strommarkt;310;Außenpolitik;Umwelt/Natur/Klima;Energie;
windkraft;309;Außenpolitik;Umwelt/Natur/Klima;Energie;
stina;309;Außenpolitik;Außenbeziehung;Land/Region;Palästinensische Gebiete
sudanes;309;Außenpolitik;Außenbeziehung;Land/Region;Sudan
bildungsgerecht;308;Innenpolitik;;;
assoziierungsabkomm;308;Innenpolitik;;;
neutralit;308;Innenpolitik;;;
recycling;307;Außenpolitik;Umwelt/Natur/Klima;;
familienrecht;307;Innenpolitik;;;
jesid;305;Außenpolitik;Außenbeziehung;Syrien;
bergbau;305;Innenpolitik;;;
snowd;303;Innenpolitik;;;
coronavirus;303;Außenpolitik;Corona;;
abschiebehaft;302;Außenpolitik;Migration;;
geldpolit;302;Innenpolitik;;;
kernkraft;301;Außenpolitik;Umwelt/Natur/Klima;Energie;
elektroautos;301;Innenpolitik;;Umwelt/Natur/Klima;
mieterh;301;Innenpolitik;;;
radverkehr;299;Innenpolitik;;;
